handcrafted_solvetime,tot_solvetime,handcrafted_objective,tot_objective,grouplabels
11.495,92.31,5,7,10
11.495,17.896,5,7,10
11.495,29.757,5,7,10
11.495,15.16,5,7,10
11.495,15.081,5,7,10
11.495,6.545,5,7,10
11.495,6.429,5,7,10
11.495,5.903,5,7,10
11.495,5.956,5,7,10
0.047,0.083,3,4,11
0.047,0.086,3,4,11
0.047,5.984,3,4,11
0.047,0.076,3,4,11
0.047,0.207,3,4,11
0.047,0.096,3,4,11
0.047,0.101,3,4,11
0.047,0.092,3,4,11
0.047,0.098,3,4,11
0.047,7.786,3,13,11
0.272,90.806,7,7,12
0.272,0.346,7,7,12
0.272,0.378,7,7,12
0.272,0.34,7,7,12
0.272,0.768,7,7,12
0.272,0.329,7,7,12
0.272,0.414,7,7,12
0.272,0.319,7,7,12
0.272,0.312,7,7,12
0.272,19.71,7,7,12
0.272,14.632,7,7,12
0.272,0.334,7,7,12
0.272,1.354,7,7,12
0.272,1.328,7,7,12
0.272,1.001,7,7,12
0.077,0.123,5,5,13
0.077,0.134,5,5,13
0.077,0.114,5,5,13
0.077,0.085,5,5,13
0.077,0.111,5,5,13
0.077,0.102,5,5,13
0.077,0.057,5,5,13
0.077,0.085,5,5,13
0.077,0.276,5,5,13
0.077,0.13,5,5,13
0.077,0.351,5,5,13
0.077,0.491,5,5,13
0.077,0.088,5,5,13
0.077,0.115,5,5,13
0.077,0.082,5,5,13
0.077,0.087,5,5,13
8.645,4.554,13,13,14
8.645,16.264,13,13,14
8.645,13.586,13,13,14
8.645,4.857,13,13,14
8.645,4.794,13,13,14
8.645,4.846,13,13,14
8.645,4.39,13,13,14
8.645,6.647,13,13,14
8.645,11.176,13,13,14
8.645,10.27,13,13,14
8.645,7.506,13,13,14
8.645,11.663,13,13,14
8.645,9.845,13,13,14
8.645,9.612,13,13,14
8.645,9.627,13,13,14
149.883,149.752,2,16,15
149.883,149.62,2,16,15
149.883,149.758,2,16,15
149.883,149.737,2,16,15
149.883,149.709,2,16,15
149.883,149.721,2,16,15
149.883,149.756,2,16,15
149.883,149.753,2,16,15
149.883,149.735,2,16,15
149.883,149.755,2,16,15
149.883,149.755,2,16,15
149.883,149.768,2,16,15
149.883,149.746,2,16,15
149.883,149.725,2,16,15
0.087,0.073,5,9,16
0.087,0.204,5,9,16
0.087,0.178,5,9,16
0.087,0.097,5,9,16
0.087,0.13,5,9,16
0.087,0.171,5,9,16
0.087,0.115,5,9,16
0.087,0.22,5,9,16
0.087,0.255,5,9,16
0.087,0.101,5,9,16
0.087,0.086,5,9,16
0.019,0.036,2,3,17
0.019,0.073,2,3,17
0.019,0.047,2,3,17
0.019,0.046,2,3,17
0.019,0.043,2,3,17
0.019,149.763,2,20,17
0.019,0.058,2,3,17
0.019,0.042,2,3,17
0.019,0.04,2,3,17
0.019,0.045,2,3,17
0.019,149.756,2,20,17
0.019,0.032,2,3,17
0.039,0.031,4,5,18
0.039,0.041,4,5,18
0.039,0.044,4,5,18
0.039,0.259,4,5,18
0.039,0.032,4,5,18
0.039,0.036,4,5,18
0.039,0.036,4,5,18
0.039,0.052,4,5,18
0.039,0.052,4,5,18
0.039,0.052,4,5,18
0.09,0.134,4,5,19
0.09,0.178,4,5,19
0.09,0.15,4,5,19
0.09,0.119,4,5,19
0.09,0.128,4,5,19
0.09,0.224,4,5,19
0.09,0.211,4,5,19
0.09,0.133,4,5,19
0.09,0.082,4,5,19
0.09,0.073,4,5,19
0.09,0.062,4,5,19
0.09,0.055,4,5,19
0.09,0.061,4,5,19
0.09,0.059,4,5,19
0.09,0.227,4,5,19
0.09,0.289,4,5,19
0.064,0.084,6,6,0
0.064,0.179,6,6,0
0.064,0.128,6,6,0
0.064,0.155,6,6,0
0.064,0.091,6,6,0
0.064,0.105,6,6,0
0.064,0.105,6,6,0
0.064,0.099,6,6,0
0.064,0.211,6,6,0
0.064,0.44,6,6,0
0.064,0.088,6,6,0
0.064,0.132,6,6,0
0.064,0.106,6,6,0
0.064,0.081,6,6,0
0.064,0.099,6,6,0
0.064,0.099,6,6,0
0.018,0.024,1,1,1
0.018,0.024,1,1,1
0.018,0.028,1,1,1
0.018,0.022,1,1,1
0.018,149.76,1,20,1
0.018,0.068,1,1,1
0.018,149.547,1,4,1
0.016,149.557,1,20,2
0.016,0.033,1,1,2
0.016,0.028,1,1,2
0.016,0.036,1,1,2
0.016,0.027,1,1,2
0.016,0.032,1,1,2
0.016,0.046,1,1,2
0.016,0.035,1,1,2
0.016,0.033,1,1,2
0.016,0.029,1,1,2
0.016,0.033,1,1,2
0.016,0.409,1,1,2
0.016,0.05,1,1,2
0.016,0.039,1,1,2
0.016,0.037,1,1,2
0.016,0.048,1,1,2
0.031,0.055,2,4,3
0.031,0.06,2,4,3
0.031,0.083,2,4,3
0.031,0.054,2,4,3
0.031,0.067,2,4,3
0.031,0.297,2,4,3
0.031,0.28,2,4,3
0.031,149.742,2,20,3
0.031,0.104,2,4,3
0.031,0.121,2,5,3
0.031,0.055,2,4,3
0.031,0.094,2,4,3
0.031,0.09,2,4,3
0.031,149.767,2,20,3
0.031,149.641,2,20,3
0.023,0.06,6,7,4
0.023,0.251,6,7,4
0.023,0.086,6,7,4
0.023,0.357,6,7,4
0.023,0.527,6,7,4
0.023,0.361,6,7,4
0.023,0.079,6,7,4
0.023,0.091,6,7,4
0.023,38.766,6,7,4
0.023,0.068,6,7,4
0.023,0.054,6,7,4
0.023,0.246,6,7,4
0.023,0.061,6,7,4
0.023,0.058,6,7,4
0.023,10.927,6,13,4
0.017,0.079,1,1,5
0.017,149.672,1,20,5
0.017,0.051,1,1,5
0.017,0.046,1,1,5
0.017,0.08,1,1,5
0.017,47.012,1,1,5
0.017,0.034,1,1,5
0.017,0.038,1,1,5
0.017,0.04,1,1,5
0.017,149.661,1,20,5
0.017,0.033,1,1,5
0.017,0.035,1,1,5
0.017,0.04,1,1,5
0.017,0.05,1,1,5
0.017,0.033,1,1,5
0.026,0.078,3,5,6
0.026,0.087,3,5,6
0.026,0.079,3,5,6
0.026,0.078,3,5,6
0.026,0.086,3,5,6
0.026,0.118,3,5,6
0.026,0.075,3,5,6
0.026,0.175,3,5,6
0.026,0.056,3,5,6
0.026,0.055,3,5,6
0.026,0.048,3,5,6
0.026,0.486,3,5,6
0.026,0.089,3,5,6
0.026,0.235,3,5,6
0.026,0.209,3,5,6
0.026,33.345,3,5,6
0.025,0.073,1,1,7
0.025,149.621,1,20,7
0.025,0.054,1,1,7
0.025,0.081,1,1,7
0.025,0.122,1,1,7
0.025,0.082,1,1,7
0.025,0.081,1,1,7
0.025,0.095,1,1,7
0.025,0.053,1,1,7
0.032,0.05,1,1,8
0.032,0.051,1,1,8
0.032,0.09,1,1,8
0.032,0.077,1,1,8
0.032,0.06,1,1,8
0.032,0.046,1,1,8
0.032,0.048,1,1,8
0.032,0.055,1,1,8
0.032,0.064,1,1,8
0.032,0.066,1,1,8
0.032,0.065,1,1,8
0.032,0.064,1,1,8
0.032,149.632,1,18,8
0.032,0.089,1,1,8
0.032,1.083,1,1,8
0.032,0.076,1,1,8
1.162,2.809,5,6,9
1.162,1.934,5,6,9
1.162,1.965,5,6,9
1.162,2.007,5,6,9
1.162,5.152,5,6,9
1.162,1.831,5,6,9
1.162,3.658,5,6,9
1.162,71.049,5,6,9
1.162,2.097,5,6,9
1.162,2.155,5,6,9
1.162,5.128,5,6,9
1.162,1.246,5,6,9
1.162,1.331,5,6,9
1.162,1.997,5,6,9
1.162,2.068,5,6,9
11.495,6.224,5,7,10
11.495,6.082,5,7,10
11.495,15.281,5,7,10
11.495,15.353,5,7,10
11.495,15.954,5,7,10
11.495,21.319,5,7,10
11.495,36.725,5,7,10
11.495,33.895,5,7,10
11.495,7.389,5,6,10
11.495,65.018,5,6,10
11.495,64.972,5,7,10
11.495,6.387,5,7,10
11.495,16.113,5,7,10
0.047,0.093,3,4,11
0.047,0.047,3,4,11
0.047,23.514,3,4,11
0.047,0.05,3,4,11
0.047,0.043,3,4,11
0.047,0.071,3,4,11
0.047,0.061,3,4,11
0.047,149.628,3,20,11
0.047,0.061,3,4,11
0.047,0.066,3,4,11
0.047,0.065,3,4,11
0.047,0.067,3,4,11
0.047,0.11,3,4,11
0.047,0.056,3,4,11
0.047,0.189,3,4,11
0.047,0.309,3,4,11
0.272,1.27,7,7,12
0.272,1.777,7,7,12
0.272,0.525,7,7,12
0.272,0.48,7,7,12
0.272,0.499,7,7,12
0.272,0.326,7,7,12
0.272,0.531,7,7,12
0.272,1.344,7,7,12
0.272,0.366,7,7,12
0.272,1.634,7,7,12
0.272,0.323,7,7,12
0.272,0.33,7,7,12
0.272,149.783,7,20,12
0.272,0.324,7,7,12
0.272,0.342,7,7,12
0.077,0.119,5,5,13
0.077,0.1,5,5,13
0.077,0.053,5,5,13
0.077,0.152,5,5,13
0.077,0.049,5,5,13
0.077,0.048,5,5,13
0.077,0.105,5,5,13
0.077,0.136,5,5,13
0.077,0.218,5,5,13
0.077,0.075,5,5,13
0.077,0.103,5,5,13
0.077,0.104,5,5,13
0.077,0.106,5,5,13
0.077,0.072,5,5,13
0.077,0.84,5,5,13
0.077,0.1,5,5,13
8.645,5.218,13,13,14
8.645,8.456,13,13,14
8.645,17.814,13,13,14
8.645,18.558,13,13,14
8.645,7.42,13,13,14
8.645,7.842,13,13,14
8.645,11.266,13,13,14
8.645,16.294,13,13,14
8.645,13.193,13,13,14
8.645,11.351,13,13,14
8.645,6.634,13,13,14
8.645,5.015,13,13,14
8.645,4.997,13,13,14
8.645,11.318,13,13,14
149.883,149.765,2,16,15
149.883,149.599,2,20,15
149.883,149.662,2,16,15
149.883,149.774,2,16,15
149.883,149.68,2,16,15
149.883,149.133,2,16,15
149.883,149.658,2,16,15
149.883,149.652,2,16,15
149.883,149.723,2,16,15
149.883,149.651,2,16,15
149.883,149.678,2,16,15
149.883,149.77,2,16,15
149.883,149.678,2,16,15
149.883,149.669,2,16,15
149.883,149.743,2,16,15
149.883,149.68,2,16,15
0.087,0.124,5,9,16
0.087,0.115,5,9,16
0.087,0.12,5,9,16
0.087,0.304,5,9,16
0.087,0.442,5,9,16
0.087,3.336,5,9,16
0.087,0.398,5,9,16
0.087,0.145,5,9,16
0.087,0.08,5,9,16
0.087,0.214,5,9,16
0.087,149.754,5,20,16
0.087,0.119,5,9,16
0.087,0.105,5,9,16
0.087,149.805,5,20,16
0.019,0.084,2,3,17
0.019,0.04,2,3,17
0.019,0.093,2,3,17
0.019,0.085,2,3,17
0.019,0.046,2,3,17
0.019,0.05,2,3,17
0.019,0.045,2,3,17
0.019,0.055,2,3,17
0.019,0.535,2,3,17
0.019,0.043,2,3,17
0.019,0.043,2,3,17
0.019,149.767,2,20,17
0.039,0.036,4,5,18
0.039,0.055,4,5,18
0.039,0.039,4,5,18
0.039,0.043,4,5,18
0.039,0.033,4,5,18
0.039,0.034,4,5,18
0.039,0.044,4,5,18
0.039,0.045,4,5,18
0.039,0.045,4,5,18
0.039,0.046,4,5,18
0.039,0.056,4,5,18
0.039,0.19,4,5,18
0.09,0.611,4,5,19
0.09,0.626,4,5,19
0.09,0.643,4,5,19
0.09,0.302,4,5,19
0.09,0.412,4,5,19
0.09,0.119,4,5,19
0.09,0.122,4,5,19
0.09,0.154,4,5,19
0.09,23.092,4,5,19
0.09,0.118,4,5,19
0.09,0.136,4,5,19
0.09,25.49,4,5,19
0.09,39.391,4,5,19
0.09,0.099,4,5,19
0.09,0.361,4,5,19
0.064,0.194,6,6,0
0.064,0.115,6,6,0
0.064,0.167,6,6,0
0.064,0.165,6,6,0
0.064,0.071,6,6,0
0.064,0.079,6,6,0
0.064,0.106,6,6,0
0.064,0.089,6,6,0
0.064,0.063,6,6,0
0.064,0.306,6,6,0
0.064,0.073,6,6,0
0.064,0.186,6,6,0
0.018,0.035,1,1,1
0.018,8.487,1,1,1
0.018,0.047,1,1,1
0.018,149.765,1,20,1
0.018,0.029,1,1,1
0.018,0.352,1,1,1
0.018,0.04,1,1,1
0.018,149.538,1,20,1
0.018,0.034,1,1,1
0.018,149.667,1,20,1
0.018,4.843,1,1,1
0.018,0.04,1,1,1
0.018,0.042,1,1,1
0.016,0.038,1,1,2
0.016,0.056,1,1,2
0.016,0.06,1,1,2
0.016,149.775,1,20,2
0.016,0.048,1,1,2
0.016,0.044,1,1,2
0.016,149.445,1,20,2
0.016,0.043,1,1,2
0.016,0.031,1,1,2
0.016,149.649,1,20,2
0.016,0.048,1,1,2
0.016,0.048,1,1,2
0.016,0.028,1,1,2
0.031,0.211,2,4,3
0.031,149.62,2,20,3
0.031,0.042,2,4,3
0.031,0.041,2,4,3
0.031,0.092,2,4,3
0.023,0.069,6,7,4
0.023,0.246,6,7,4
0.023,0.047,6,7,4
0.023,31.327,6,7,4
0.023,0.254,6,7,4
0.023,0.057,6,7,4
0.023,0.051,6,7,4
0.023,0.052,6,7,4
0.023,149.756,6,20,4
0.023,0.063,6,7,4
0.023,0.087,6,7,4
0.023,0.051,6,7,4
0.023,0.108,6,7,4
0.023,0.076,6,7,4
0.023,0.079,6,7,4
0.023,0.239,6,7,4
0.017,0.074,1,1,5
0.017,33.855,1,1,5
0.017,99.537,1,1,5
0.017,0.059,1,1,5
0.017,0.059,1,1,5
0.017,0.037,1,1,5
0.017,0.065,1,1,5
0.017,0.04,1,1,5
0.017,0.042,1,1,5
0.017,0.035,1,1,5
0.017,149.155,1,20,5
0.017,0.036,1,1,5
0.017,0.037,1,1,5
0.017,0.034,1,1,5
0.017,38.574,1,1,5
0.026,0.27,3,5,6
0.026,0.564,3,5,6
0.026,0.088,3,5,6
0.026,0.246,3,5,6
0.026,0.464,3,5,6
0.026,0.06,3,5,6
0.026,0.077,3,5,6
0.026,0.045,3,5,6
0.026,0.038,3,5,6
0.026,0.039,3,5,6
0.026,0.175,3,5,6
0.026,16.888,3,5,6
0.025,149.653,1,20,7
0.025,0.107,1,1,7
0.025,0.067,1,1,7
0.025,0.059,1,1,7
0.025,0.063,1,1,7
0.025,0.074,1,1,7
0.025,0.135,1,1,7
0.025,0.135,1,1,7
0.025,0.05,1,1,7
0.025,0.066,1,1,7
0.025,0.052,1,1,7
0.025,0.049,1,1,7
0.025,149.617,1,20,7
0.025,0.05,1,1,7
0.025,0.049,1,1,7
0.025,0.048,1,1,7
0.032,149.646,1,20,8
0.032,0.046,1,1,8
0.032,0.05,1,1,8
0.032,149.196,1,20,8
0.032,149.659,1,20,8
0.032,0.039,1,1,8
0.032,149.646,1,20,8
0.032,0.04,1,1,8
0.032,0.068,1,1,8
0.032,0.056,1,1,8
0.032,0.069,1,1,8
0.032,0.056,1,1,8
0.032,0.073,1,1,8
0.032,0.057,1,1,8
0.032,149.696,1,20,8
0.032,0.038,1,1,8
1.162,103.749,5,6,9
1.162,1.736,5,6,9
1.162,2.026,5,6,9
1.162,1.1,5,6,9
1.162,43.57,5,6,9
1.162,1.166,5,6,9
1.162,1.031,5,6,9
1.162,1.021,5,6,9
1.162,4.855,5,6,9
1.162,2.474,5,6,9
11.495,10.955,5,7,10
11.495,74.34,5,7,10
11.495,9.622,5,7,10
11.495,9.354,5,7,10
11.495,9.285,5,7,10
11.495,35.656,5,7,10
11.495,16.236,5,7,10
11.495,22.432,5,7,10
11.495,6.189,5,7,10
11.495,6.061,5,7,10
11.495,18.268,5,6,10
11.495,17.767,5,6,10
11.495,17.69,5,6,10
11.495,19.473,5,6,10
0.047,0.045,3,4,11
0.047,0.042,3,4,11
0.047,0.093,3,4,11
0.047,25.164,3,4,11
0.047,82.534,3,4,11
0.047,0.048,3,4,11
0.047,0.078,3,4,11
0.047,0.104,3,4,11
0.047,9.154,3,13,11
0.047,0.359,3,4,11
0.047,0.695,3,4,11
0.272,0.595,7,7,12
0.272,0.665,7,7,12
0.272,0.536,7,7,12
0.272,0.37,7,7,12
0.272,15.6,7,7,12
0.272,0.397,7,7,12
0.272,18.229,7,7,12
0.272,0.302,7,7,12
0.077,0.056,5,5,13
0.077,0.077,5,5,13
0.077,0.113,5,5,13
0.077,0.101,5,5,13
0.077,0.344,5,5,13
0.077,149.778,5,20,13
0.077,0.049,5,5,13
0.077,0.049,5,5,13
0.077,0.09,5,5,13
0.077,0.381,5,5,13
0.077,0.248,5,5,13
0.077,0.504,5,5,13
0.077,0.13,5,5,13
0.077,0.092,5,5,13
0.077,0.751,5,5,13
0.077,0.095,5,5,13
8.645,11.914,13,13,14
8.645,43.948,13,13,14
8.645,41.473,13,13,14
8.645,14.574,13,13,14
8.645,23.663,13,13,14
8.645,18.387,13,13,14
8.645,7.93,13,13,14
8.645,7.986,13,13,14
8.645,25.524,13,13,14
8.645,10.318,13,13,14
8.645,4.699,13,13,14
8.645,7.559,13,13,14
8.645,8.533,13,13,14
149.883,149.655,2,16,15
149.883,149.711,2,16,15
149.883,149.731,2,16,15
149.883,149.744,2,16,15
149.883,149.509,2,16,15
149.883,149.771,2,16,15
149.883,149.625,2,16,15
149.883,149.755,2,16,15
149.883,149.777,2,16,15
149.883,149.785,2,16,15
149.883,149.749,2,16,15
149.883,149.771,2,16,15
149.883,149.739,2,16,15
149.883,149.767,2,16,15
149.883,149.766,2,16,15
0.087,0.097,5,9,16
0.087,0.107,5,9,16
0.087,0.261,5,9,16
0.087,0.202,5,9,16
0.087,0.094,5,9,16
0.087,0.097,5,9,16
0.087,0.092,5,9,16
0.087,0.092,5,9,16
0.087,0.109,5,9,16
0.087,0.262,5,9,16
0.087,0.104,5,9,16
0.087,0.095,5,9,16
0.087,0.1,5,9,16
0.087,0.088,5,9,16
0.087,0.252,5,9,16
0.019,0.261,2,3,17
0.019,0.029,2,3,17
0.019,0.048,2,3,17
0.019,0.046,2,3,17
0.019,0.047,2,3,17
0.019,0.046,2,3,17
0.019,0.041,2,3,17
0.019,0.056,2,3,17
0.019,0.037,2,3,17
0.019,0.03,2,3,17
0.019,0.498,2,3,17
0.019,0.04,2,3,17
0.019,0.379,2,3,17
0.019,0.039,2,3,17
0.019,0.052,2,3,17
0.019,0.172,2,3,17
0.039,0.041,4,5,18
0.039,0.046,4,5,18
0.039,0.05,4,5,18
0.039,0.197,4,5,18
0.039,0.052,4,5,18
0.039,0.076,4,5,18
0.039,0.055,4,5,18
0.039,0.04,4,5,18
0.039,1.403,4,5,18
0.039,0.056,4,5,18
0.039,0.078,4,5,18
0.039,0.055,4,5,18
0.039,0.303,4,5,18
0.039,0.237,4,5,18
0.09,0.123,4,5,19
0.09,0.298,4,5,19
0.09,0.122,4,5,19
0.09,0.168,4,5,19
0.09,0.127,4,5,19
0.09,0.253,4,5,19
0.09,0.165,4,5,19
0.09,0.119,4,5,19
0.09,0.194,4,5,19
0.09,0.215,4,5,19
0.09,0.218,4,5,19
0.09,0.217,4,5,19
0.09,0.109,4,5,19
0.09,0.458,4,5,19
0.09,0.102,4,5,19
0.09,0.115,4,5,19
